workers,run,total_cores,time_seconds
1,1,1,284.02
1,2,1,262.42
1,3,1,267.65
1,4,1,277.69
1,5,1,241.98
1,1,2,130.02
1,2,2,118.43
1,3,2,119.61
1,4,2,142.24
1,5,2,142.26
